,,,,,,,,,,,,,,,,,,,,,
,6.,,Race:,Lago Maggiore - GP,,,,,,,,,,,Teamwertung,,Lago Maggiore - GP,,,,
,35,, Drivers             Date:,06.11.2023,Fastest Lap:,"1:54,041",by,MADze-_-,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,MADze-_-,,,,BQ,BV,BW,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,MADze-_-,No Facksen Racing,Nissan GT-R '18,,1,,"0:50:35,280",,¹ 35 ³,,39,,1,KotzBärTV [1],KBTV_Normbiz_GT,36,KBTV_Rocket,28,64
,2,,KBTV_Normbiz_GT,KotzBärTV,Mazda RX,,2,,"0:50:39,736","+ 0:04,456",  34 ²,,36,,2,No Facksen Racing [1],MADze-_-,39,Badger--04,21,60
,3,,SWR-Semtex,Stiftung Wagentest Racing,Toyota GR Supra,,1,,"0:51:06,766","+ 0:31,486",  33 ¹,,34,,3,de Shadaim Racing [1],MSWdjjc27,30,J-de-Shadaim,27,57
,4,,RTC_DoMee,Racing Team Caravanko,BMW M6 Endurance '16,,1,,"0:51:07,476","+ 0:32,196",32,,32,,4,International Racing Crew [1],IRC_Puppe,29,HM_derspieth,16,45
,5,,HM_Tobi,Herrmann Motorsport,McLaren 650S,,3,,"0:51:10,811","+ 0:35,531",31,,31,,5,Maibert MacLon Racing [1],Gorgi_meets_GT,22,Peter-zockt-1984,13,35
,6,,MSWdjjc27,de Shadaim Racing,Nissan GT-R '18,,3,,"0:51:12,205","+ 0:36,925",30,,30,,6,Stiftung Wagentest Racing [1],SWR-Semtex,34,,,34
,7,,IRC_Puppe,International Racing Crew,McLaren 650S,,2,,"0:51:15,217","+ 0:39,937",29,,29,,7,Racing Team Caravanko [1],RTC_DoMee,32,,,32
,8,,KBTV_Rocket,KotzBärTV,Mazda RX,,1,,"0:51:15,714","+ 0:40,434",28,,28,,8,Racing Team Coyote [1],jppganhao,18,boky2006zg,14,32
,9,,J-de-Shadaim,de Shadaim Racing,Mazda RX,,1,,"0:51:15,884","+ 0:40,604",27,,27,,9,KotzBärTV [2],KBTV_Jenner,23,KBTV_xpress,9,32
,10,,LMP-KleCKs,,Nissan GT-R '18,,2,,"0:51:17,892","+ 0:42,612",26,,26,,10,Herrmann Motorsport [1],HM_Tobi,31,,,31
,11,,D4NT3_BL4xX,,Peugeot RCZ,,2,,"0:51:22,686","+ 0:47,406",25,,25,,11,International Racing Crew [2],Roozay_33,15,PMR_Swissracer66,8,23
,12,,armeddotter,,McLaren 650S,,3,,"0:51:27,700","+ 0:52,420",24,,24,,12,Project Apex [1],PrA-doctorjones,20,,,20
,13,,KBTV_Jenner,KotzBärTV,Mazda RX,,1,,"0:51:28,058","+ 0:52,778",23,,23,,13,de Shadaim Racing [2],mr_osaka7,19,,,19
,14,,Gorgi_meets_GT,Maibert MacLon Racing,Peugeot RCZ,,1,,"0:51:28,207","+ 0:52,927",22,,22,,14,Feelgood Racing [1],FGR_Topeca,17,,,17
,15,,Badger--04,No Facksen Racing,Mercedes AMG GT3 '20,,3,,"0:51:29,608","+ 0:54,328",21,,21,,15,Rhein-Rur-Motorsport [1],Lumpi-0707,11,Milo_GT881,4,15
,16,,PrA-doctorjones,Project Apex,Nissan GT-R '18,,1,,"0:51:32,019","+ 0:56,739",20,,20,,16,Digital Racing Cologne [1],Timfra,6,,,6
,17,,mr_osaka7,de Shadaim Racing,Nissan GT-R '18,,3,,"0:51:34,190","+ 0:58,910",19,,19,,17,Maibert MacLon Racing [2],L-O-N,5,,,5
,18,,jppganhao,Racing Team Coyote,Mazda RX,,2,,"0:51:36,687","+ 1:01,407",18,,18,,18,Rhein-Rur-Motorsport [2],|--Hennes--|,3,C45P43R13,2,5
,19,,FGR_Topeca,Feelgood Racing,Toyota GR Supra,,1,,"0:51:37,258","+ 1:01,978",17,,17,,,,,,,,
,20,,HM_derspieth,International Racing Crew,Genesis X,,2,,"0:51:44,114","+ 1:08,834",16,,16,,,,,,,,
,21,,Roozay_33,International Racing Crew,Genesis X,,1,,"0:51:44,330","+ 1:09,050",15,,15,,,,,,,,
,22,,boky2006zg,Racing Team Coyote,Lexus RC F,,2,,"0:51:47,442","+ 1:12,162",14,,14,,,,,,,,
,23,,Peter-zockt-1984,Maibert MacLon Racing,Peugeot RCZ,,2,,"0:51:49,258","+ 1:13,978",13,,13,,,,,,,,
,24,,Der-Schumi-84,,Mercedes AMG GT3 '20,,2,,"0:51:52,449","+ 1:17,169",12,,12,,,,,,,,
,25,,Lumpi-0707,Rhein-Rur-Motorsport,Mazda RX,,3,,"0:51:55,810","+ 1:20,530",11,,11,,,,,,,,
,26,,kostjareloaded,,Toyota GR Supra,,2,+1s,"0:51:57,241","+ 1:21,961",10,,10,,,,,,,,
,27,,KBTV_xpress,KotzBärTV,Mazda RX,,2,+20s,"0:51:57,859","+ 1:22,579",9,,9,,,,,,,,
,28,,PMR_Swissracer66,International Racing Crew,Peugeot RCZ,,1,+4s,"0:51:58,785","+ 1:23,505",8,,8,,,,,,,,
,29,,Bladde90,,Nissan GT-R '18,,3,,"0:52:05,038","+ 1:29,758",7,,7,,,,,,,,
,30,,Timfra,Digital Racing Cologne,Porsche 911 RSR,,3,,"0:52:10,138","+ 1:34,858",6,,6,,,,,,,,
,31,,L-O-N,Maibert MacLon Racing,Nissan GT-R '18,,3,,"0:52:30,267","+ 1:54,987",5,,5,,,,,,,,
,32,,Milo_GT881,Rhein-Rur-Motorsport,Porsche 911 RSR,,3,,"0:53:07,995","+ 2:32,715",4,,4,,,,,,,,
,33,,|--Hennes--|,Rhein-Rur-Motorsport,BMW M6 Endurance '16,,3,,"0:53:29,394","+ 2:54,114",3,,3,,,,,,,,
,34,,C45P43R13,Rhein-Rur-Motorsport,VW BEETLE,,1,,"0:54:10,457","+ 3:35,177",2,,2,,,,,,,,
,35,,Taubimaschine,,Porsche 911 RSR,,1,,"8:00:00,000",DNF,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,18,,Driver,,,Team-1,3,,4,,Σ 2
,,,de Shadaim Racing [1],MSWdjjc27,30,J-de-Shadaim,27,57,1,de Shadaim Racing,,,3,,,de Shadaim Racing [2],mr_osaka7,19,,,19
,,,Digital Racing Cologne [1],Timfra,6,,,6s,2,Digital Racing Cologne,,,1,,,,,,,,
,,,Feelgood Racing [1],FGR_Topeca,17,,,17s,3,Feelgood Racing,,,1,,,,,,,,
,,,Herrmann Motorsport [1],HM_Tobi,31,,,31s,4,Herrmann Motorsport,,,1,,,,,,,,
,,,International Racing Crew [1],IRC_Puppe,29,HM_derspieth,16,45s,5,International Racing Crew,,,4,,,International Racing Crew [2],Roozay_33,15,PMR_Swissracer66,8,23
,,,KotzBärTV [1],KBTV_Normbiz_GT,36,KBTV_Rocket,28,64s,6,KotzBärTV,,,4,,,KotzBärTV [2],KBTV_Jenner,23,KBTV_xpress,9,32
,,,Maibert MacLon Racing [1],Gorgi_meets_GT,22,Peter-zockt-1984,13,35s,7,Maibert MacLon Racing,,,3,,,Maibert MacLon Racing [2],L-O-N,5,,,5
,,,No Facksen Racing [1],MADze-_-,39,Badger--04,21,60s,8,No Facksen Racing,,,2,,,,,,,,
,,,Project Apex [1],PrA-doctorjones,20,,,20s,9,Project Apex,,,1,,,,,,,,
,,,Racing Team Caravanko [1],RTC_DoMee,32,,,32s,10,Racing Team Caravanko,,,1,,,,,,,,
,,,Racing Team Coyote [1],jppganhao,18,boky2006zg,14,32s,11,Racing Team Coyote,,,2,,,,,,,,
,,,Rhein-Rur-Motorsport [1],Lumpi-0707,11,Milo_GT881,4,15s,12,Rhein-Rur-Motorsport,,,4,,,Rhein-Rur-Motorsport [2],|--Hennes--|,3,C45P43R13,2,5
,,,Stiftung Wagentest Racing [1],SWR-Semtex,34,,,34s,13,Stiftung Wagentest Racing,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BQ,BV,BW,,,,,,,,,,,,
