,,,,,,,,,,,,,,,,,,,,,
,1.,,Race:,Monza,,,,,,,,,,,Teamwertung,,Monza,,,,
,43,, Drivers   /   Date:,25.09.2023,Fastest Lap:,"1:47,134",by,FGR_M-Rabak,,,,,,,Die 2 bestplatzierten Fahrer eines Teams sammeln Punkte für die Teamwertung.,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,FGR_M-Rabak,,,,D,I,J,,,,,,,,,,,,
,Pos,N,Driver  ,Team,Car,Livery,G,P,RaceTime,Diff,Pkt,Car,SUM,,Pos,Team,1. Driver,Pkt.,2. Driver,Pkt.,SUM
,1,,Roozay_33,International Racing Crew,Genesis X,,1,,"0:51:00,533",,  43 ³,,46,,1,Feelgood Racing [1],FGR_Topeca,44,FGR_M-Rabak,40,84
,2,,FGR_Topeca,Feelgood Racing,Toyota GR Supra,,1,,"0:51:03,602","+ 0:03,069",  42 ²,,44,,2,International Racing Crew [1],Roozay_33,46,PMR_Swissracer66,35,81
,3,,SWR-Semtex,Stiftung Wagentest Racing,Genesis X,,1,,"0:51:07,441","+ 0:06,908",  41 ¹,,42,,3,Racing Team Coyote [1],jppganhao,40,boky2006zg,36,76
,4,,jppganhao,Racing Team Coyote,Genesis X,,2,,"0:51:07,518","+ 0:06,985",40,,40,,4,No Facksen Racing [1],MADze-_-,38,Badger--04,25,63
,5,,FGR_M-Rabak,Feelgood Racing,Toyota GR Supra,,1,,"0:51:10,658","+ 0:10,125",¹ 39 ,,40,,5,Roadrunner Racing [1],Kawa-Jo,37,HankCastelli,23,60
,6,,MADze-_-,No Facksen Racing,Nissan GT-R '18,,1,,"0:51:11,606","+ 0:11,073",38,,38,,6,de Shadaim Racing [1],J-de-Shadaim,34,mr_osaka7,24,58
,7,,Kawa-Jo,Roadrunner Racing,Genesis X,,1,,"0:51:15,076","+ 0:14,543",37,,37,,7,KotzBärTV [1],KBTV_Jenner,30,KBTV_xpress,28,58
,8,,boky2006zg,Racing Team Coyote,Genesis X,,2,,"0:51:17,921","+ 0:17,388",36,,36,,8,Maibert MacLon Racing [1],Gorgi_meets_GT,29,Peter-zockt-1984,18,47
,9,,PMR_Swissracer66,International Racing Crew,Peugeot RCZ,,2,,"0:51:31,664","+ 0:31,131",35,,35,,9,International Racing Crew [2],HM_derspieth,31,IRC_Puppe,14,45
,10,,J-de-Shadaim,de Shadaim Racing,Ford GT LM,,1,,"0:51:32,667","+ 0:32,134",34,,34,,10,Stiftung Wagentest Racing [1],SWR-Semtex,42,,,42
,11,,D4NT3_BL4xX,,Ford Mustang,,3,,"0:51:34,614","+ 0:34,081",33,,33,,11,KotzBärTV [2],KBTV_Rocket,22,KBTV_Normbiz_GT,11,33
,12,,kostjareloaded,,Toyota GR Supra,,1,,"0:51:37,509","+ 0:36,976",32,,32,,12,Rhein-Rur-Motorsport [1],Lumpi-0707,16,Der-Schumi-84,15,31
,13,,HM_derspieth,International Racing Crew,Genesis X,,2,,"0:51:45,105","+ 0:44,572",31,,31,,13,Project Apex [1],PrA-doctorjones,26,PrA-rutschi,3,29
,14,,KBTV_Jenner,KotzBärTV,Ford GT LM,,1,,"0:51:50,378","+ 0:49,845",30,,30,,14,THE Roadrunners [1],TRR-Zipfelfink,27,,,27
,15,,Gorgi_meets_GT,Maibert MacLon Racing,McLaren 650S,,1,,"0:51:50,855","+ 0:50,322",29,,29,,15,Roadrunner Racing [2],INS4NE-BR0-GR1M,19,SJB_1973,5,24
,16,,KBTV_xpress,KotzBärTV,McLaren 650S,,2,,"0:51:51,764","+ 0:51,231",28,,28,,16,Maibert MacLon Racing [2],GT-Hosss669,10,L-O-N,8,18
,17,,TRR-Zipfelfink,THE Roadrunners,Genesis X,,2,,"0:51:53,341","+ 0:52,808",27,,27,,17,Herrmann Motorsport [1],HM_Tobi,17,,,17
,18,,PrA-doctorjones,Project Apex,Ford Mustang,,2,,"0:51:53,845","+ 0:53,312",26,,26,,18,Pandabrake Racing [1],flauschige_Panda,13,,,13
,19,,Badger--04,No Facksen Racing,Dodge Viper,,3,,"0:51:54,786","+ 0:54,253",25,,25,,19,Singen Süd Racing [1],Uchiha14,12,,,12
,20,,mr_osaka7,de Shadaim Racing,Nissan GT-R '18,,2,,"0:51:56,395","+ 0:55,862",24,,24,,20,Digital Racing Cologne [1],Timfra,9,,,9
,21,,HankCastelli,Roadrunner Racing,Genesis X,,2,+6s,"0:51:56,470","+ 0:55,937",23,,23,,21,Schnieders Sim Karting [1],batt_night220,2,,,2
,22,,KBTV_Rocket,KotzBärTV,Genesis X,,2,+40s,"0:52:00,465","+ 0:59,932",22,,22,,,,,,,,
,23,,Bladde90,,Ford GT LM,,3,,"0:52:01,624","+ 1:01,091",21,,21,,,,,,,,
,24,,armeddotter,,Ford GT LM,,2,,"0:52:01,903","+ 1:01,370",20,,20,,,,,,,,
,25,,INS4NE-BR0-GR1M,Roadrunner Racing,Nissan GT-R '18,,3,,"0:52:02,453","+ 1:01,920",19,,19,,,,,,,,
,26,,Peter-zockt-1984,Maibert MacLon Racing,Toyota GR Supra,,2,,"0:52:02,523","+ 1:01,990",18,,18,,,,,,,,
,27,,HM_Tobi,Herrmann Motorsport,Mercedes AMG GT3 '20,,3,,"0:52:02,883","+ 1:02,350",17,,17,,,,,,,,
,28,,Lumpi-0707,Rhein-Rur-Motorsport,Genesis X,,3,,"0:52:03,802","+ 1:03,269",16,,16,,,,,,,,
,29,,Der-Schumi-84,Rhein-Rur-Motorsport,Mercedes AMG GT3 '20,,2,,"0:52:05,729","+ 1:05,196",15,,15,,,,,,,,
,30,,IRC_Puppe,International Racing Crew,Mercedes AMG GT3 '20,,1,,"0:52:07,532","+ 1:06,999",14,,14,,,,,,,,
,31,,flauschige_Panda,Pandabrake Racing,McLaren 650S,,1,,"0:52:08,187","+ 1:07,654",13,,13,,,,,,,,
,32,,Uchiha14,Singen Süd Racing,Genesis X,,3,,"0:52:12,797","+ 1:12,264",12,,12,,,,,,,,
,33,,KBTV_Normbiz_GT,KotzBärTV,Ford Mustang,,1,+30s,"0:52:26,531","+ 1:25,998",11,,11,,,,,,,,
,34,,GT-Hosss669,Maibert MacLon Racing,McLaren 650S,,3,,"0:52:43,563","+ 1:43,030",10,,10,,,,,,,,
,35,,Timfra,Digital Racing Cologne,Mercedes AMG GT3 '20,,3,,"0:52:52,764","+ 1:52,231",9,,9,,,,,,,,
,36,,L-O-N,Maibert MacLon Racing,Aston Martin Vantage,,3,,"0:52:55,063","+ 1:54,530",8,,8,,,,,,,,
,37,,IRC_Tomi,International Racing Crew,Ford GT LM,,1,,"0:53:05,764","+ 2:05,231",7,,7,,,,,,,,
,38,,TheGreatBeamie,,Ford GT LM,,3,+35s,"0:53:42,342","+ 2:41,809",6,,6,,,,,,,,
,39,,SJB_1973,Roadrunner Racing,Genesis X,,2,+150s,"0:54:15,305","+ 3:14,772",5,,5,,,,,,,,
,40,,Beni_149,Maibert MacLon Racing,Audi R8 LMS '15,,3,+36s,"0:54:17,496","+ 3:16,963",4,,4,,,,,,,,
,41,,PrA-rutschi,Project Apex,Subaru BRZ GT300 '21,,1,,"0:55:11,899","+ 4:11,366",3,,3,,,,,,,,
,42,,batt_night220,Schnieders Sim Karting,Toyota GR Supra,,3,+75s,"0:55:43,601","+ 4:43,068",2,,2,,,,,,,,
,43,,Highwaystar1980,International Racing Crew,Genesis X,,2,+30s,"1:00:58,651","+ 9:58,118",1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Team-1,1,,2,,Σ 1,#,Teams:,21,,Driver,,,Team-1,3,,4,,Σ 2
,,,de Shadaim Racing [1],J-de-Shadaim,34,mr_osaka7,24,58,1,de Shadaim Racing,,,2,,,,,,,,
,,,Digital Racing Cologne [1],Timfra,9,,,9s,2,Digital Racing Cologne,,,1,,,,,,,,
,,,Feelgood Racing [1],FGR_Topeca,44,FGR_M-Rabak,40,84s,3,Feelgood Racing,,,2,,,,,,,,
,,,Herrmann Motorsport [1],HM_Tobi,17,,,17s,4,Herrmann Motorsport,,,1,,,,,,,,
,,,International Racing Crew [1],Roozay_33,46,PMR_Swissracer66,35,81s,5,International Racing Crew,,,6,,,International Racing Crew [2],HM_derspieth,31,IRC_Puppe,14,45
,,,KotzBärTV [1],KBTV_Jenner,30,KBTV_xpress,28,58s,6,KotzBärTV,,,4,,,KotzBärTV [2],KBTV_Rocket,22,KBTV_Normbiz_GT,11,33
,,,Maibert MacLon Racing [1],Gorgi_meets_GT,29,Peter-zockt-1984,18,47s,7,Maibert MacLon Racing,,,5,,,Maibert MacLon Racing [2],GT-Hosss669,10,L-O-N,8,18
,,,No Facksen Racing [1],MADze-_-,38,Badger--04,25,63s,8,No Facksen Racing,,,2,,,,,,,,
,,,Pandabrake Racing [1],flauschige_Panda,13,,,13s,9,Pandabrake Racing,,,1,,,,,,,,
,,,Project Apex [1],PrA-doctorjones,26,PrA-rutschi,3,29s,10,Project Apex,,,2,,,,,,,,
,,,Racing Team Coyote [1],jppganhao,40,boky2006zg,36,76s,11,Racing Team Coyote,,,2,,,,,,,,
,,,Rhein-Rur-Motorsport [1],Lumpi-0707,16,Der-Schumi-84,15,31s,12,Rhein-Rur-Motorsport,,,2,,,,,,,,
,,,Roadrunner Racing [1],Kawa-Jo,37,HankCastelli,23,60s,13,Roadrunner Racing,,,4,,,Roadrunner Racing [2],INS4NE-BR0-GR1M,19,SJB_1973,5,24
,,,Schnieders Sim Karting [1],batt_night220,2,,,2s,14,Schnieders Sim Karting,,,1,,,,,,,,
,,,Singen Süd Racing [1],Uchiha14,12,,,12s,15,Singen Süd Racing,,,1,,,,,,,,
,,,Stiftung Wagentest Racing [1],SWR-Semtex,42,,,42s,16,Stiftung Wagentest Racing,,,1,,,,,,,,
,,,THE Roadrunners [1],TRR-Zipfelfink,27,,,27s,17,THE Roadrunners,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,D,I,J,,,,,,,,,,,,
